#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1413393212225760500,0.09494591130849153,0.02024581932313422,0.05864306286700947,9.128356708333332,0.10623870833333333,-2.606934458333333
1413393212230760500,0.05864306286700947,0.03560471674068433,0.05166174585903216,9.422556208333333,1.1604535833333331,-2.623278875
1413393212235760500,-0.01117010721276371,0.027925268031909273,0.06981317007977318,9.398039583333333,1.61809725,-2.705000958333333
1413393212240760500,-0.07260569688296412,0.033510321638291124,0.06981317007977318,9.496106083333332,0.6701210833333332,-2.8194118749999997
1413393212245760500,-0.09215338450530061,0.03630284844148206,0.07888888219014369,8.989429166666666,-0.13075533333333333,-2.7131731666666665
1413393212250760500,-0.05864306286700947,0.024434609527920613,0.10053096491487339,9.177389958333332,-0.8907707083333333,-2.582417833333333
1413393212255760500,-0.005585053606381855,0.009075712110370514,0.11379546723003027,9.299973083333333,-1.2340034583333332,-2.476179125
1413393212260760500,0.03700098014227979,0.013264502315156905,0.10053096491487339,9.586000375,-0.8172208333333333,-2.7458620000000002
1413393212265760500,0.0614355896702004,0.023736477827122883,0.09145525280450287,9.275456458333332,0.07354987499999999,-2.582417833333333
1413393212270760500,0.04468042885105484,0.017453292519943295,0.0767944870877505,9.536967125,0.4985047083333333,-2.6886565416666666
1413393212275760500,0.009773843811168246,0.028623399732707,0.060039326268604934,9.471589458333332,0.4004382083333333,-2.606934458333333
1413393212280760500,-0.01884955592153876,0.029321531433504733,0.07190756518216637,9.496106083333332,0.220649625,-2.9256505833333333
1413393212285760500,-0.032114058236695664,0.04258603374866164,0.08656833089891874,9.332661916666666,0.122583125,-2.705000958333333
1413393212290760500,-0.04328416544945937,0.023038346126325153,0.08447393579652555,9.398039583333333,-0.04903325,-2.8194118749999997
1413393212295760500,-0.0307177948351002,0.041887902047863905,0.09494591130849153,9.659550249999999,-0.3759215833333333,-2.9174783749999995
1413393212300760500,-0.01117010721276371,0.041887902047863905,0.09354964790689606,9.1201845,-0.43312704166666666,-2.4925235416666665
1413393212305760500,-0.0006981317007977319,0.024434609527920613,0.07749261878854824,9.291800875,-0.4903325,-2.59876225
1413393212310760500,0.020943951023931952,0.014660765716752367,0.07120943348136866,9.242767624999999,-0.4004382083333333,-2.5252123749999997
1413393212315760500,0.032812189937493394,0.008377580409572781,0.07539822368615504,9.447072833333333,-0.0980665,-2.655967708333333
1413393212320760500,0.02652900463031381,0.0013962634015954637,0.08936085770210968,9.496106083333332,0.269682875,-2.69682875
1413393212325760500,0.006283185307179587,0.01117010721276371,0.09773843811168245,9.447072833333333,0.44129925,-2.7376897916666665
1413393212330760500,-0.011868238913561441,0.027925268031909273,0.10122909661567112,9.7085835,0.2533384583333333,-2.8439284999999996
1413393212335760500,-0.028623399732707,0.03700098014227979,0.09145525280450287,9.757616749999999,0.0,-2.8684451249999996
1413393212340760500,-0.028623399732707,0.041887902047863905,0.07749261878854824,9.586000375,-0.17161637500000002,-2.754034208333333
1413393212345760500,-0.01815142422074103,0.04817108735504349,0.07051130178057091,9.324489708333333,-0.48216029166666663,-2.5006957499999998
1413393212350760500,0.005585053606381855,0.02583087292951608,0.0767944870877505,9.079323458333333,-0.5148491249999999,-2.3699404166666667
1413393212355760500,0.020943951023931952,0.016755160819145562,0.0879645943005142,9.201906583333333,-0.17978858333333333,-2.574245625
1413393212360760500,0.02234021442552742,0.008377580409572781,0.09075712110370514,9.283628666666665,0.057205458333333334,-2.6151066666666667
1413393212365760500,0.009075712110370514,0.005585053606381855,0.08307767239493008,9.487933875,0.13892754166666665,-2.7867230416666664
1413393212370760500,-0.003756992518901825,0.02614096738398075,0.07615752518177032,9.79741096496582,0.19029685854911804,-2.9665167331695557
1413393212375760500,-0.01628841459751129,0.04297289252281189,0.06654464453458786,9.53618049621582,0.02711094543337822,-2.8339803218841553
1413393212380760500,-0.02476261556148529,0.03038264997303486,0.07014580070972443,9.356449127197266,-0.1662093847990036,-2.670624256134033
1413393212385760500,-0.013051912188529968,0.05206814408302307,0.07498066127300262,9.445432662963867,-0.3119789958000183,-2.6782779693603516
1413393212390760500,0.007003329694271088,0.03389634191989899,0.08728565275669098,8.841339111328125,-0.19844329357147217,-2.3999199867248535
1413393212395760500,0.0007866546511650085,0.001597704365849495,0.098978191614151,9.2429838180542,0.13767962157726288,-2.550534963607788
1413393212400760500,-0.008860372006893158,0.01774921454489231,0.0899466723203659,9.74916934967041,-0.04306209832429886,-2.77925181388855
1413393212405760500,-0.011587090790271759,0.029632413759827614,0.083852119743824,9.6171875,-0.2579565644264221,-2.9573757648468018
1413393212410760500,-0.007382921874523163,0.01769695244729519,0.07850480079650879,9.201480865478516,-0.23438486456871033,-2.6539623737335205
1413393212415760500,0.0011557191610336304,0.023528756573796272,0.07643093913793564,9.79801082611084,-0.34839022159576416,-2.882051706314087
1413393212420760500,0.017841778695583344,0.05143732577562332,0.08194968104362488,9.27377700805664,-0.15047292411327362,-2.5705881118774414
1413393212425760500,0.023202940821647644,0.026049243286252022,0.09908917546272278,9.005949020385742,0.10332947224378586,-2.5564587116241455
1413393212430760500,0.0050667449831962585,0.004476627334952354,0.09460331499576569,9.447577476501465,0.32474231719970703,-2.7639095783233643
1413393212435760500,-0.01649799570441246,0.01577848382294178,0.08915963768959045,9.478711128234863,0.2602803409099579,-2.697565793991089
1413393212440760500,-0.033970415592193604,0.018899692222476006,0.08809281885623932,9.462298393249512,-0.13296851515769958,-2.7300548553466797
1413393212445760500,-0.03044702112674713,0.023292744532227516,0.07220514863729477,9.41443157196045,-0.5679267644882202,-2.7268433570861816
1413393212450760500,-0.005960352718830109,0.027084020897746086,0.07375526428222656,9.48673152923584,-0.4941081404685974,-2.6851797103881836
1413393212455760500,0.025344274938106537,0.02834038995206356,0.08471545577049255,9.543187141418457,-0.24088479578495026,-2.702831268310547
1413393212460760500,0.03162491321563721,0.039314739406108856,0.08784076571464539,9.389631271362305,-0.0947999581694603,-2.6052961349487305
1413393212465760500,0.024037159979343414,0.03320576250553131,0.07952459901571274,9.324637413024902,0.26574206352233887,-2.680072546005249
1413393212470760500,0.003129512071609497,0.029903201386332512,0.08568096160888672,9.218215942382812,0.4626705050468445,-2.526470184326172
1413393212475760500,-0.01998642086982727,0.010100599378347397,0.08860307931900024,9.389652252197266,0.12778133153915405,-2.672367811203003
1413393212480760500,-0.03522519767284393,0.012667180970311165,0.08204489946365356,9.60205078125,-0.1909450888633728,-2.8102715015411377
1413393212485760500,-0.02484077960252762,0.024654464796185493,0.08263681083917618,9.421889305114746,-0.26435816287994385,-2.695054054260254
1413393212490760500,-0.01100853830575943,0.01911150850355625,0.08447670936584473,9.413385391235352,-0.18188545107841492,-2.8262739181518555
1413393212495760500,0.0022532418370246887,0.02615688182413578,0.08249101042747498,9.495282173156738,-0.2565616965293884,-2.629518747329712
1413393212500760500,0.018373288214206696,0.026196138933300972,0.07412900775671005,9.658319473266602,-0.2580529749393463,-2.744495153427124
